;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
science;1;0;0;0;0;0;0;1;1;1;2;4;0;1;2;0;0;29;59;65;99;182;187;231;340;393;279;326;324;315;329;418;359;439;481;216
quality;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8;10;16;21;23;24;32;37;46;25;37;57;47;73;61;56;60;25
together;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;8;11;6;18;24;31;38;41;43;39;55;66;50;63;74;67;76;84;21
obtain;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;4;4;4;13;28;18;15;15;17;12;17;26;23;22;25;10
network;1;0;1;1;1;1;0;1;1;1;2;0;0;0;9;0;0;31;71;82;91;135;91;168;269;265;171;216;247;357;377;436;316;381;335;116
model;1;0;3;8;8;0;1;0;0;0;0;4;4;4;0;0;2;16;46;62;74;121;122;171;269;310;174;305;349;271;387;389;402;446;514;244
utilized;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;3;8;4;6;3;5;5;5;12;5;5;10;5;6
analysis;1;3;0;1;1;0;1;1;1;1;1;0;2;1;2;7;0;15;15;22;47;61;52;64;132;128;89;112;178;179;197;192;196;165;212;86
software;1;1;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;2;14;39;64;55;101;85;94;149;142;198;207;225;267;307;262;347;239;110
digitizer;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
member;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;0;4;3;5;19;32;30;26;55;41;24;28;19;36;36;40;33;42;35;13
curve;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;1;0;1;0;0;3;0;5;6;5;0
component;1;0;1;0;0;0;0;0;0;0;1;2;2;2;0;0;2;5;11;24;20;63;61;38;56;95;46;57;74;60;77;110;93;85;91;69
accommodate;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;4;2;4;5;2;0;4;4;3;4;7;6;4;1
faculty;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;5;16;10;34;42;44;32;77;87;46;62;80;85;97;98;97;99;84;33
cooperate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;2;3;4;2;4;0;0;2;0
substantive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;4;0;0;1;2;2;1;1;0;0;0;0;2;0
university;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;7;23;15;43;64;92;68;102;109;70;67;87;73;60;90;81;129;140;62
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;8;16;15;14;14;24;29;28;24;47;31;52;49;46;41;44;21
prediction;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;9;10;10;15;21;12;28;17;15;18;42;45;28;44;15
culture;0;0;0;1;1;0;0;0;0;0;0;0;1;3;0;0;0;1;6;1;2;12;4;12;8;15;4;8;22;9;8;18;17;6;7;3
diffusion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;8;0;1;5;12;1;17;7;0;8;7;3;9;7;3
sensitive;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;5;2;0;5;2;1;2;6;2;2;18;6;14;16;18;16;21;7
openness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;1;1;0;1;0;1;1;1;0;2;0;0;0;1;0;0;0;0
use;0;0;5;6;6;1;2;0;0;0;2;6;6;5;4;5;1;27;48;72;111;177;201;244;447;460;293;349;457;427;524;618;626;876;931;446
transport;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;4;4;10;10;6;12;11;8;17;10;9;24;12;19;10;8;10
pattern;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;2;6;6;1;5;9;9;27;16;17;15;32;25;39;52;29;44;26;20
mix;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;6;2;2;9;1;4;0;7;4;7;3;3
cybersecurity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;14;18;1;13;6;32;18;58;112;132;161;263;308;329;411;374;178
difficulty;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;7;3;4;5;6;8;4;12;4;7;11;14;6;8;2
foundation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;11;4;10;10;18;22;25;24;28;30;33;39;32;60;52;37;37;38;13
review;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;5;2;5;2;7;5;14;12;5;4;12;13;12;11;362;387;180
improve;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;4;13;8;31;37;51;49;96;122;77;88;95;121;172;168;179;182;209;99
performance;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;9;30;23;19;61;44;76;54;50;37;72;103;130;117;149;132;132;61
wave;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;8;3;2;33;16;23;3;5;7;33;36;14;21;15;12
storage;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;19;11;19;11;22;27;18;23;41;22;31;41;57;55;29;22
reflect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;4;4;2;1;4;5;4;4;10;7;9;10;15;361;383;181
evolutionary;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5;5;0;1;16;20;2;7;4;5;9;8;3;4;6;0
addition;0;0;1;0;0;2;0;0;0;0;1;2;0;0;2;0;0;2;10;8;19;18;32;36;58;58;38;43;41;55;59;82;81;70;59;64
increase;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;30;21;57;25;54;51;105;122;89;122;114;164;156;201;176;221;198;103
conformational;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;5;0;0;0;1;0;6;0;0;1
protein;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;6;15;4;11;38;26;8;6;15;6;8;17;10;2;11;23
location;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;9;5;3;7;5;21;15;25;19;21;16;15;26;26;20;25;18
collaborative;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;1;2;14;20;20;39;47;58;72;74;50;70;71;65;57;88;51;63;75;18
optimization;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;7;7;25;15;19;24;10;30;14;28;43;35;85;50;58;40
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5;5;7;9;5;26;8;28;20;23;23;47;25;50;59;43;65;39;27
management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;12;28;30;29;76;43;68;62;57;102;86;107;113;130;115;84;74;56
visualization;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;14;10;16;17;31;46;54;78;29;50;68;53;38;41;28;30;19;14
extensive;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;5;4;12;4;7;9;14;15;14;11;11;19;15;26;36;21;14;9
capability;0;0;0;2;2;1;0;0;0;0;1;0;0;0;1;0;0;5;8;16;34;17;42;48;70;76;56;82;99;76;115;109;142;122;84;86
produce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;13;17;18;19;20;20;42;55;31;44;24;54;60;49;59;51;66;26
organic;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;5;18;17;5;14;10;2;0;4;3;15;7;9;1
supercomputer;0;0;10;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;4;5;1;4;14;5;5;8;2;4;9;10;10;18;6;19;6;6
grid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;8;27;35;26;6;34;30;26;39;19;12;65;41;83;53;74;22
stable;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;3;4;2;6;2;7;4;2;3;4;2;1;10;1;2;6
academic;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;1;1;9;9;16;23;19;24;33;28;27;40;48;35;48;60;51;52;63;57
